_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,recno
112.0181408381,30.3224059054,36272,07 28 04.37,+30 19 22.0,8.96,112.01819873,30.32278077,21.41,-20.56,-154.23,1.33,0.894,,112.01814084,30.32240591,36243
112.9419346269,-75.5274300969,36612,07 31 46.06,-75 31 38.5,8.69,112.94193735,-75.52736209,9.9,-0.28,-27.98,0.69,0.428,,112.94193463,-75.5274301,36582
113.9840190494,-32.8414203978,36964,07 35 56.06,-32 50 27.9,8.94,113.98359651,-32.84109152,19.22,146.06,-135.31,1.03,0.766,,113.98401905,-32.8414204,36935
117.0953036646,6.7850712271,38093,07 48 22.88,+06 47 06.3,8.18,117.09531862,6.7850713,6.23,-6.11,-0.03,1.19,0.069,,117.09530366,6.78507123,38062
117.4794212554,27.3631814322,38228,07 49 55.07,+27 21 47.6,6.9,117.47944668,27.36321021,45.84,-9.29,-11.84,0.89,0.682,,117.47942126,27.36318143,38197
117.9249904001,9.3860520412,38374,07 51 42.04,+09 23 11.4,8.58,117.92517891,9.38651076,20.06,-76.52,-188.73,1.27,0.726,,117.9249904,9.38605204,38343
118.3884387554,-63.7698613526,38542,07 53 33.23,-63 46 11.6,8.98,118.38844211,-63.76989312,3.48,-0.61,13.07,1.27,0.475,,118.38843876,-63.76986135,38509
118.9367269532,-48.0417518053,38729,07 55 44.80,-48 02 30.3,9.42,118.93667973,-48.04174184,11.5,12.99,-4.1,0.89,0.785,,118.93672695,-48.04175181,38696
121.4549787524,20.8037545342,39624,08 05 49.19,+20 48 13.2,9.36,121.45496596,20.80366193,17.13,4.92,38.1,1.46,0.737,,121.45497875,20.80375453,39593
124.3002291666,-65.6571645405,40585,08 17 12.08,-65 39 26.0,8.85,124.30033961,-65.65721286,4.04,-18.73,19.88,1.67,0.364,,124.30022917,-65.65716454,40553
124.6028311485,-7.5712824633,40694,08 18 24.70,-07 34 16.7,7.59,124.60290733,-7.57130638,8.87,-31.07,9.84,0.92,0.244,,124.60283115,-7.57128246,40662
126.6160398419,10.0803776843,41378,08 26 27.88,+10 04 49.3,8.93,126.61615698,10.08037066,8.61,-47.45,2.89,1.36,0.495,,126.61603984,10.08037768,41346
127.1283315307,-74.9548145626,41565,08 28 30.84,-74 57 17.5,8.92,127.12849745,-74.95486033,2.99,-17.72,18.83,0.87,0.546,,127.12833153,-74.95481456,41533
127.2226225891,-20.9504014731,41603,08 28 53.43,-20 57 01.3,6.69,127.22262147,-20.95036098,2.43,0.43,-16.66,0.82,-0.066,,127.22262259,-20.95040147,41571
127.9952525134,-16.8849191087,41849,08 31 58.85,-16 53 05.3,9.22,127.99521774,-16.88480689,5.03,13.69,-46.17,1.12,0.498,,127.99525251,-16.88491911,41817
128.6143143528,-61.4882962583,42067,08 34 27.45,-61 29 17.9,8.44,128.61437515,-61.4883088,1.36,-11.94,5.16,0.66,0.079,,128.61431435,-61.48829626,42035
129.6885833865,-13.2566892723,42401,08 38 45.30,-13 15 24.4,9.67,129.6887438,-13.25678613,29.73,-64.24,39.85,1.55,1.112,,129.68858339,-13.25668927,42369
129.6896691167,23.685905274,42403,08 38 45.55,+23 41 10.6,6.89,129.6897941,23.68626609,28.52,-47.09,-148.45,0.95,0.547,,129.68966912,23.68590527,42371
130.3960361437,-22.1943270293,42654,08 41 35.06,-22 11 39.6,7.8,130.39610135,-22.19434363,4.47,-24.84,6.83,0.86,0.013,,130.39603614,-22.19432703,42622
134.3730947631,-39.7784235783,43991,08 57 29.55,-39 46 42.3,9.45,134.37314157,-39.77842562,7.39,-14.8,0.84,1.05,0.48,,134.37309476,-39.77842358,43958
134.7185131561,-43.4528820004,44094,08 58 52.47,-43 27 10.6,8.29,134.71861273,-43.45293224,6.37,-29.74,20.67,0.83,0.196,,134.71851316,-43.452882,44061
135.2975446862,55.8599440205,44289,09 01 11.42,+55 51 35.8,8.29,135.29759055,55.85995209,4.41,-10.59,-3.32,1.08,0.579,,135.29754469,55.85994402,44257
